小室,,,,,,,,,,,,
\Mormya,\xiaoshi,,,,,,,,,,,
id,是否为选项,选项描述,选项事件1,选项事件2,选项事件3,选项事件4,玩家标识,表情包标识,表情包id,内容,角色姓名,nextId
0,,,,,,,1,,,呐，小室,1,1
1,,,,,,,1,,,出道回要有什么活动啊,1,2
2,,,,,,,1,,,第一次出道不知道怎么安排,1,3
3,,,,,,,1,1,会员购,,1,4
4,,,,,,,2,,,找我那你可算找对人了 ,2,5
5,,,,,,,2,1,我的1,,2,6
6,,,,,,,2,,,首先呢，你需要先想一个有趣的开场,2,7
7,,,,,,,2,,,然后呢，你需要一段自我介绍,2,8
8,,,,,,,2,,,最后简单介绍下自己之后的直播安排就可以了,2,9
9,,,,,,,2,,,出道之后就得保持稳定的直播啦,2,10
10,,,,,,,1,,,了解了，爱你捏,1,11
11,,,,,,,1,1,爱心,,1,12
12,,,,,,,2,,,不过比起出道回，先熟悉一下老三样比较好,2,13
13,,,,,,,2,,,唱歌、游戏、杂谈,2,14
14,,,,,,,2,,,有什么问题都可以问我偶，你亲爱的好姐姐一定帮你,2,15
15,,,19,,,,1,1,爱心,,1,-1
