id,是否为选项,选项描述,选项事件1,选项事件2,选项事件3,选项事件4,玩家标识,头像id,表情包标识,表情包id,内容,角色姓名,nextId
0,,,,,,,1,Mormya,,,终于！！！,1,1
1,,,,,,,1,Mormya,,,上大师了！！！,1,2
2,,,,,,,1,Mormya,1,我的1,,1,3
3,,,,,,,2,pep2,,,恭喜恭喜！,2,4
4,,,,,,,2,pep1,1,打call,,2,5
5,,,,,,,2,dj,1,羡慕,,2,6
6,,,,,,,2,pep3,,,太强了主播,2,7
7,,,,,,,2,pep3,,,下次能不能带我上分,2,8
8,,,,,,,1,Mormya,,,谢谢大家的礼物！,1,9
9,,,,,,,1,Mormya,,,不妙，说不出话了...,1,10
10,,,,,,,2,pep1,1,打call,,2,11
11,,,,,,,2,pep3,1,打call,,2,12
12,,,,,,,1,Mormya,,,自从这个月说要单排上大师以来,,13
13,,,,,,,1,Mormya,,,中间好几次尝试都失败了,,14
14,,,,,,,1,Mormya,,,然后被很多人说一定做不到,,15
15,,,,,,,1,Mormya,, ,当时非常消沉,,16
16,,,,,,,1,Mormya,,,但是完全没想到还有这么多人支持我,,17
17,,,,,,,1,Mormya,,,还是决定坚持到现在！,,18
18,,,,,,,2,dj,1,爱心1,,,19
19,,,,,,,2,pep2,,,我一直都相信你的！,,20
20,,,,,,,2,pep1,,,支持主播！,,21
21,,,,,,,1,Mormya,,,不管有没有成功,,22
22,,,,,,,1,Mormya,,,付出努力一定不会白费的,,23
23,,,,,,,1,Mormya,,,我想把这一点传达给大家,,24
24,,,,,,,1,Mormya,,,真的非常感谢大家,,25
25,,,,,,,1,Mormya,,,谢谢大家愿意相信我,,26
26,,,,,,,2,pep3,,,以后也会支持主播的！！,,27
27,,,,,,,2,pep1,,,下次上大师吧,,28
28,,,,,,,2,pep2,1,爱心,,,29
29,,,,,,,2,dj,,,主播下一个目标是什么,,30
30,,,,,,,1,Mormya,,,下一个目标,,31
31,,,25,,,,1,Mormya,,,当然是比赛了！,,32
